ENSEMBL_ID	Associated.Gene.Name	iTreg	naive	nTreg	Th1	Th17	Th2
ENSMUSG00000096264	Gm23108	NE	NE	NE	NE	LE	NE
ENSMUSG00000096265	4930467E23Rik	NE	NE	NE	NE	NE	NE
ENSMUSG00000096266	Gm20808	NE	NE	NE	NE	NE	NE
ENSMUSG00000096267	Gm21774	NE	NE	NE	NE	NE	NE
ENSMUSG00000096268	Gm20914	NE	NE	NE	NE	NE	NE
ENSMUSG00000096269	Rpl31-ps21	LE	HE	NE	NE	UND	LE
ENSMUSG00000096270	Vmn2r-ps134	NE	NE	NE	NE	NE	NE
ENSMUSG00000096271	Ccl21c	NE	NE	NE	NE	NE	NE
ENSMUSG00000096272	Gm21588	NE	NE	NE	NE	NE	NE
ENSMUSG00000096273	Olfr1474	NE	NE	NE	NE	NE	NE
ENSMUSG00000096274	Gm24766	NE	NE	NE	NE	NE	NE
ENSMUSG00000096275	Gm20901	NE	NE	NE	NE	NE	NE
ENSMUSG00000096276	Gm2042	NE	NE	NE	NE	LE	NE
ENSMUSG00000096277	Gm21142	NE	NE	NE	NE	NE	NE
ENSMUSG00000096278	Dcpp2	NE	NE	NE	NE	NE	NE
ENSMUSG00000096279	Gm9312	UND	NE	UND	UND	UND	UND
ENSMUSG00000096280	Gm23287	NE	LE	UND	UND	HE	UND
ENSMUSG00000096281	Gm22255	NE	NE	NE	NE	NE	NE
ENSMUSG00000096282	Gm22254	NE	NE	NE	NE	LE	NE
ENSMUSG00000096283	Gm6176	NE	NE	NE	NE	NE	NE
ENSMUSG00000096284	Tcstv1	NE	NE	NE	NE	NE	NE
ENSMUSG00000096285	Gm22253	NE	NE	NE	NE	LE	NE
ENSMUSG00000096286	Gm8266	NE	LE	NE	NE	LE	NE
ENSMUSG00000096287	Gm22252	NE	NE	NE	NE	NE	NE
ENSMUSG00000096288	Gm22251	NE	NE	NE	NE	LE	NE
ENSMUSG00000096289	Olfr1484	NE	NE	LE	NE	NE	NE
ENSMUSG00000096290	Gm23932	NE	UND	NE	NE	NE	NE
ENSMUSG00000096291	Gm23933	NE	NE	NE	NE	NE	NE
ENSMUSG00000096292	Gm2666	NE	NE	NE	NE	NE	NE
ENSMUSG00000096293	Gm3683	NE	NE	NE	NE	NE	NE
ENSMUSG00000096294	Gm10302	NE	NE	NE	NE	NE	NE
ENSMUSG00000096295	Defa2	NE	NE	NE	NE	NE	NE
ENSMUSG00000096296	Snord88c	NE	HE	UND	UND	HE	UND
ENSMUSG00000096297	Gm23934	NE	UND	NE	LE	UND	UND
ENSMUSG00000096298	Gm23931	NE	LE	NE	NE	LE	NE
ENSMUSG00000096299	Gm21814	NE	NE	UND	LE	UND	UND
ENSMUSG00000096300	Gm25212	NE	UND	NE	NE	NE	NE
ENSMUSG00000096301	Ighd6-2	NE	NE	NE	NE	NE	NE
ENSMUSG00000096302	Gm25210	NE	NE	NE	NE	NE	NE
ENSMUSG00000096303	Gm25211	NE	UND	NE	NE	UND	NE
ENSMUSG00000096304	Gm16451	NE	NE	NE	NE	NE	NE
ENSMUSG00000096305	Gm23047	NE	NE	NE	NE	NE	NE
ENSMUSG00000096306	Gm25209	NE	NE	NE	NE	NE	NE
ENSMUSG00000096307	n-R5s104	NE	UND	NE	NE	NE	NE
ENSMUSG00000096308	Gm14598	NE	NE	NE	NE	NE	NE
